mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
91.18556938171386,41.024330591818234,5.515422248840332,0.13865851807388,1.0,0,500,5,6,0.01,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",-1152.48046875,-876.7996215820312,-833.390869140625,-853.075927734375,-798.4506225585938,-902.839501953125,127.43253252824869,36
223.8293650150299,87.94058716288166,19.83898639678955,0.5116619877172386,0.7,10,600,3,10,0.01,0.0,0.6,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-1137.236572265625,-759.5357055664062,-697.4265747070312,-736.9443359375,-666.4965209960938,-799.5279418945313,171.86346549284028,21
184.74839811325074,69.31939041071874,13.823695278167724,0.43224176026891514,0.9,10,800,5,8,0.2,0.0,1.0,"{'subsample': 0.9, 'reg_lambda': 10, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 1.0}",-1160.4027099609375,-750.8301391601562,-708.9793701171875,-720.617919921875,-666.2857666015625,-801.4231811523438,181.52874552222352,22
75.23759126663208,31.889773841247372,4.726455783843994,0.12038982566329302,0.7,10,300,3,8,0.1,0.2,1.0,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",-1090.2471923828125,-723.8074340820312,-686.831787109375,-701.6559448242188,-647.775146484375,-770.0635009765625,161.99924292631522,9
107.24669847488403,35.96494374932764,7.906458711624145,0.17526147113799073,0.7,1,300,1,10,0.2,0.2,0.6,"{'subsample': 0.7, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.6}",-1150.9566650390625,-790.169189453125,-731.4267578125,-761.8490600585938,-702.9566650390625,-827.4716674804688,164.35872695018116,30
92.2663890361786,35.98190355032352,6.5534107208251955,0.4345967352035819,0.8,5,400,1,8,0.1,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 5, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.6}",-1105.5328369140625,-716.1249389648438,-676.1901245117188,-701.02587890625,-642.01123046875,-768.177001953125,170.532716793964,7
138.00961608886718,56.64455574892804,10.282466506958007,0.21290962582662726,0.9,0,600,1,8,0.05,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 0, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",-1132.729248046875,-717.1983642578125,-693.2257080078125,-694.74365234375,-642.2772827148438,-776.0348510742188,180.0274008435527,14
173.71342239379882,70.5733433632821,13.092124605178833,0.641537680840435,0.9,5,800,5,8,0.1,0.0,1.0,"{'subsample': 0.9, 'reg_lambda': 5, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",-1137.133544921875,-717.7835693359375,-687.6256713867188,-703.751708984375,-639.1742553710938,-777.09375,181.96248543453802,15
160.2008846759796,57.34391254825979,13.288423347473145,0.35890712478612,0.9,5,500,3,10,0.1,0.2,0.7,"{'subsample': 0.9, 'reg_lambda': 5, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",-1129.731689453125,-723.067138671875,-676.8948364257812,-706.0282592773438,-629.3067626953125,-773.0057373046875,181.1739229050707,12
181.38965039253236,62.44584786298824,16.488214683532714,0.5578490184814878,1.0,0,600,5,10,0.05,0.2,1.0,"{'subsample': 1.0, 'reg_lambda': 0, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 1.0}",-1109.7857666015625,-710.9891357421875,-705.2940063476562,-691.0504760742188,-634.7367553710938,-770.3712280273437,171.84411454827776,10
95.55701889991761,39.702088457369086,7.459524250030517,0.3449054828428587,1.0,1,400,5,8,0.01,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 1, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",-1128.6632080078125,-827.8431396484375,-781.7193603515625,-807.1972045898438,-748.2823486328125,-858.7410522460938,137.55208877467436,35
385.17984380722044,142.10084009149875,17.831803178787233,0.5801449765584551,0.9,0,600,1,10,0.1,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-1112.6873779296875,-761.7526245117188,-746.1400756835938,-742.0238647460938,-692.431884765625,-811.0071655273438,152.61945662658945,24
